Year,site_name,launch_site,Longitude,Latitude,Category,Result,Count
1942,"Heersversuchsstelle Peenemunde, Usedom, Rostock, Mecklenburg-Vorpommern",HVP,13.801,54.173,Military,Failure,4
1942,"Heersversuchsstelle Peenemunde, Usedom, Rostock, Mecklenburg-Vorpommern",HVP,13.801,54.173,Military,Success,3
1943,"Truppenubungsplatz Heidelager, Blizna, Krakow, Polska",HLG,21.8,50.2,Military,Failure,2
1943,"Truppenubungsplatz Heidelager, Blizna, Krakow, Polska",HLG,21.8,50.2,Military,Success,1
1943,"Heersversuchsstelle Peenemunde, Usedom, Rostock, Mecklenburg-Vorpommern",HVP,13.801,54.173,Military,Failure,12
1943,"Heersversuchsstelle Peenemunde, Usedom, Rostock, Mecklenburg-Vorpommern",HVP,13.801,54.173,Military,Success,13
1943,"Heersversuchsstelle Peenemunde, Usedom, Rostock, Mecklenburg-Vorpommern",HVP,13.801,54.173,Military,Unknown,1
1944,"Heidekraut, Tucheler Heide, Deutschland (now Polska)",HKR,18,53.6,Military,Failure,22
1944,"Heidekraut, Tucheler Heide, Deutschland (now Polska)",HKR,18,53.6,Military,Success,158
1944,"Truppenubungsplatz Heidelager, Blizna, Krakow, Polska",HLG,21.8,50.2,Military,Failure,2
1944,"Truppenubungsplatz Heidelager, Blizna, Krakow, Polska",HLG,21.8,50.2,Military,Success,25
1944,"Heersversuchsstelle Peenemunde, Usedom, Rostock, Mecklenburg-Vorpommern",HVP,13.801,54.173,Military,Failure,7
1944,"Heersversuchsstelle Peenemunde, Usedom, Rostock, Mecklenburg-Vorpommern",HVP,13.801,54.173,Military,Success,19
1944,"Leach Spring, Camp Irwin, California",IRW,-116.7,35.3,Military,Success,24
1944,"Unknown V2 WWII launch site, Europe",UNKV2,6,50,Military,Failure,1
1944,"Unknown V2 WWII launch site, Europe",UNKV2,6,50,Military,Success,50
1944,"V-2 launch area, Burgsteinfurt",V2BURG,7.3,52.1,Military,Success,18
1944,"V-2 launch area, Enschede, Nederlanden",V2ENS,6.89,52.22,Military,Success,2
1944,"V-2 launch area, Euskirchen, Deutschland",V2EUS,6.8,50.65,Military,Success,13
1944,V-2 launch area near Den Haag-Wassenaar,V2HAAG,4.3799,52.1302,Military,Success,10
1944,V-2 launch area near Hachenburg/Montaburg,V2HACH,7.8,50.5,Military,Success,9
1944,V-2 launch area at Hermeskeil,V2HERM,6.9,49.65,Military,Success,2
1944,"V-2 launch areas, Houffalize, Belgium",V2HOUF,5.79,50.04,Military,Success,1
1944,"V-2 launch area, Merzig, N of Saar",V2MERZ,6.6,49.45,Military,Success,4
1944,"V-2 launch area, Remscheid",V2REM,7.2,51.18,Military,Success,1
1944,"V-2 launch area, Stavorem, Friesland",V2STAV,5.4,52.9,Military,Failure,1
1944,"V-2 launch area, Stavorem, Friesland",V2STAV,5.4,52.9,Military,Success,4
1944,"V-2 launch areas, Fraiture, Vielsalm, Ardennes",V2VIEL,5.752,50.258,Military,Failure,2
1944,"V-2 launch area, Beukenhorst mansion, Vught, Nederlanden",V2VUGHT,5.2885,51.6241,Military,Failure,1
1944,"V-2 launch area, Beukenhorst mansion, Vught, Nederlanden",V2VUGHT,5.2885,51.6241,Military,Success,8
1944,"V-2 launch area, Serooskerke, Walcheren, Holland",V2WAL,3.5899,51.5515,Military,Success,7
1944,"V-2 launch area, Zwolle-Hellendoorn-Enschede",V2ZWOL,6.45,52.4,Military,Success,1
1945,"Cuxhaven, Niedersachsen, Deutschland",CUX,8.7,53.87,Military,Failure,1
1945,"Cuxhaven, Niedersachsen, Deutschland",CUX,8.7,53.87,Military,Success,2
1945,"Hueco Range, Fort Bliss, Texas",FTB,-106.65,31.8,Military,Success,17
1945,"Heidekraut, Tucheler Heide, Deutschland (now Polska)",HKR,18,53.6,Military,Failure,2
1945,"Heidekraut, Tucheler Heide, Deutschland (now Polska)",HKR,18,53.6,Military,Success,17
1945,"Heersversuchsstelle Peenemunde, Usedom, Rostock, Mecklenburg-Vorpommern",HVP,13.801,54.173,Military,Failure,1
1945,"Heersversuchsstelle Peenemunde, Usedom, Rostock, Mecklenburg-Vorpommern",HVP,13.801,54.173,Military,Success,1
1945,"Heersversuchsstelle Peenemunde, Usedom, Rostock, Mecklenburg-Vorpommern",HVP,13.801,54.173,Military,Unknown,1
1945,"Unknown V2 WWII launch site, Europe",UNKV2,6,50,Military,Success,54
1945,"Unknown V2 WWII launch site, Europe",UNKV2,6,50,Military,Unknown,1
1945,V-2 launch area near Den Haag-Wassenaar,V2HAAG,4.3799,52.1302,Military,Failure,1
1945,V-2 launch area near Den Haag-Wassenaar,V2HAAG,4.3799,52.1302,Military,Success,4
1945,V-2 launch area near Hachenburg/Montaburg,V2HACH,7.8,50.5,Military,Success,1
1945,V-2 launch area at Hellendoorn/Eelerberg,V2HELL,6.43,52.41,Military,Success,12
1945,"V-2 launch area, Zwolle-Hellendoorn-Enschede",V2ZWOL,6.45,52.4,Military,Success,1
1945,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Success,6
1945,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Success,14
1946,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Success,2
1946,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Failure,5
1946,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Success,13
1946,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Failure,6
1946,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Success,17
1947,"USS Midway, Operation Sandy 1947 ""several hundred mi SE Bermuda""",AOR10,-60,27,Military,Failure,1
1947,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Failure,4
1947,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Success,7
1947,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Success,8
1947,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Failure,2
1947,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Success,10
1947,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Failure,3
1947,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Success,2
1947,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Failure,4
1947,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Success,17
1948,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Failure,1
1948,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Success,8
1948,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Military,Failure,2
1948,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Military,Success,3
1948,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Failure,1
1948,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Success,7
1948,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Success,26
1948,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Failure,2
1948,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Success,1
1948,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Failure,5
