Year,launch_site,Longitude,Latitude,Category,Result,Count
1942,HVP,13.801,54.173,Military,Failure,4
1942,HVP,13.801,54.173,Military,Success,3
1943,HLG,21.8,50.2,Military,Failure,2
1943,HLG,21.8,50.2,Military,Success,1
1943,HVP,13.801,54.173,Military,Failure,12
1943,HVP,13.801,54.173,Military,Success,13
1943,HVP,13.801,54.173,Military,Unknown,1
1944,HKR,18,53.6,Military,Failure,22
1944,HKR,18,53.6,Military,Success,158
1944,HLG,21.8,50.2,Military,Failure,2
1944,HLG,21.8,50.2,Military,Success,25
1944,HVP,13.801,54.173,Military,Failure,7
1944,HVP,13.801,54.173,Military,Success,19
1944,IRW,-116.7,35.3,Military,Success,24
1944,UNKV2,6,50,Military,Failure,1
1944,UNKV2,6,50,Military,Success,50
1944,V2BURG,7.3,52.1,Military,Success,18
1944,V2ENS,6.89,52.22,Military,Success,2
1944,V2EUS,6.8,50.65,Military,Success,13
1944,V2HAAG,4.3799,52.1302,Military,Success,10
1944,V2HACH,7.8,50.5,Military,Success,9
1944,V2HERM,6.9,49.65,Military,Success,2
1944,V2HOUF,5.79,50.04,Military,Success,1
1944,V2MERZ,6.6,49.45,Military,Success,4
1944,V2REM,7.2,51.18,Military,Success,1
1944,V2STAV,5.4,52.9,Military,Failure,1
1944,V2STAV,5.4,52.9,Military,Success,4
1944,V2VIEL,5.752,50.258,Military,Failure,2
1944,V2VUGHT,5.2885,51.6241,Military,Failure,1
1944,V2VUGHT,5.2885,51.6241,Military,Success,8
1944,V2WAL,3.5899,51.5515,Military,Success,7
1944,V2ZWOL,6.45,52.4,Military,Success,1
1945,CUX,8.7,53.87,Military,Failure,1
1945,CUX,8.7,53.87,Military,Success,2
1945,FTB,-106.65,31.8,Military,Success,17
1945,HKR,18,53.6,Military,Failure,2
1945,HKR,18,53.6,Military,Success,17
1945,HVP,13.801,54.173,Military,Failure,1
1945,HVP,13.801,54.173,Military,Success,1
1945,HVP,13.801,54.173,Military,Unknown,1
1945,UNKV2,6,50,Military,Success,54
1945,UNKV2,6,50,Military,Unknown,1
1945,V2HAAG,4.3799,52.1302,Military,Failure,1
1945,V2HAAG,4.3799,52.1302,Military,Success,4
1945,V2HACH,7.8,50.5,Military,Success,1
1945,V2HELL,6.43,52.41,Military,Success,12
1945,V2ZWOL,6.45,52.4,Military,Success,1
1945,WS,-106.53,32.4,Atmosphere,Success,6
1945,WS,-106.53,32.4,Suborbital,Success,14
1946,WI,-75.48,37.83,Atmosphere,Success,2
1946,WS,-106.53,32.4,Atmosphere,Failure,5
1946,WS,-106.53,32.4,Atmosphere,Success,13
1946,WS,-106.53,32.4,Suborbital,Failure,6
1946,WS,-106.53,32.4,Suborbital,Success,17
1947,AOR10,-60,27,Military,Failure,1
1947,GTsP-4,45.8,48.5,Military,Failure,4
1947,GTsP-4,45.8,48.5,Military,Success,7
1947,WI,-75.48,37.83,Atmosphere,Success,8
1947,WS,-106.53,32.4,Atmosphere,Failure,2
1947,WS,-106.53,32.4,Atmosphere,Success,10
1947,WS,-106.53,32.4,Military,Failure,3
1947,WS,-106.53,32.4,Military,Success,2
1947,WS,-106.53,32.4,Suborbital,Failure,4
1947,WS,-106.53,32.4,Suborbital,Success,17
1948,GTsP-4,45.8,48.5,Military,Failure,1
1948,GTsP-4,45.8,48.5,Military,Success,8
1948,HADC,-106.103,32.8496,Military,Failure,2
1948,HADC,-106.103,32.8496,Military,Success,3
1948,WI,-75.48,37.83,Atmosphere,Failure,1
1948,WI,-75.48,37.83,Atmosphere,Success,7
1948,WS,-106.53,32.4,Atmosphere,Success,26
1948,WS,-106.53,32.4,Military,Failure,2
1948,WS,-106.53,32.4,Military,Success,1
1948,WS,-106.53,32.4,Suborbital,Failure,5
1948,WS,-106.53,32.4,Suborbital,Success,17
1949,GTsP-4,45.8,48.5,Military,Failure,4
1949,GTsP-4,45.8,48.5,Military,Success,27
1949,HADC,-106.103,32.8496,Suborbital,Failure,1
1949,HADC,-106.103,32.8496,Suborbital,Success,1
1949,POR22,-88.43,-11.1,Suborbital,Failure,1
1949,POR22,-88.43,-11.1,Suborbital,Success,2
1949,WI,-75.48,37.83,Atmosphere,Failure,2
1949,WI,-75.48,37.83,Atmosphere,Success,12
1949,WS,-106.53,32.4,Atmosphere,Success,3
1949,WS,-106.53,32.4,Military,Failure,2
1949,WS,-106.53,32.4,Suborbital,Failure,7
1949,WS,-106.53,32.4,Suborbital,Success,18
1949,WS,-106.53,32.4,Suborbital,Unknown,3
1950,BER1,-170,58,Suborbital,Success,2
1950,CC,-80.54,28.46,Military,Failure,1
1950,CC,-80.54,28.46,Military,Success,2
1950,CC,-80.54,28.46,Suborbital,Failure,1
1950,CC,-80.54,28.46,Suborbital,Success,1
1950,GTsP-4,45.8,48.5,Military,Failure,5
1950,GTsP-4,45.8,48.5,Military,Success,7
1950,HADC,-106.103,32.8496,Military,Failure,1
1950,HADC,-106.103,32.8496,Suborbital,Failure,1
1950,HADC,-106.103,32.8496,Suborbital,Success,6
1950,POR8,-161.4167,0.1866,Suborbital,Success,1
1950,SUIP,4.53,49.15,Suborbital,Failure,1
1950,SUIP,4.53,49.15,Suborbital,Success,1
1950,WI,-75.48,37.83,Atmosphere,Failure,2
1950,WI,-75.48,37.83,Atmosphere,Success,23
1950,WS,-106.53,32.4,Atmosphere,Success,26
1950,WS,-106.53,32.4,Military,Failure,2
1950,WS,-106.53,32.4,Military,Success,3
1950,WS,-106.53,32.4,Suborbital,Failure,4
1950,WS,-106.53,32.4,Suborbital,Success,17
1951,CC,-80.54,28.46,Military,Failure,7
1951,CC,-80.54,28.46,Military,Success,15
1951,GTsP-4,45.8,48.5,Military,Failure,1
1951,GTsP-4,45.8,48.5,Military,Success,28
1951,GTsP-4,45.8,48.5,Suborbital,Success,6
1951,HADC,-106.103,32.8496,Military,Success,16
1951,HADC,-106.103,32.8496,Suborbital,Failure,1
1951,HADC,-106.103,32.8496,Suborbital,Success,10
1951,SUIP,4.53,49.15,Suborbital,Success,3
1951,VERNON,1.48,49.08,Suborbital,Success,1
1951,WI,-75.48,37.83,Atmosphere,Failure,2
1951,WI,-75.48,37.83,Atmosphere,Success,16
1951,WS,-106.53,32.4,Atmosphere,Failure,2
1951,WS,-106.53,32.4,Atmosphere,Success,15
1951,WS,-106.53,32.4,Atmosphere,Unknown,14
1951,WS,-106.53,32.4,Military,Failure,1
1951,WS,-106.53,32.4,Military,Success,6
1951,WS,-106.53,32.4,Military,Unknown,1
1951,WS,-106.53,32.4,Suborbital,Failure,5
1951,WS,-106.53,32.4,Suborbital,Success,10
1952,ARO1,-68.47,80.1,Suborbital,Failure,2
1952,ARO1,-68.47,80.1,Suborbital,Success,5
1952,CARD,3.64,43.58,Suborbital,Success,5
1952,CC,-80.54,28.46,Military,Failure,9
1952,CC,-80.54,28.46,Military,Success,32
1952,GTsP-4,45.8,48.5,Military,Failure,2
1952,GTsP-4,45.8,48.5,Military,Success,24
1952,HADC,-106.103,32.8496,Military,Success,4
1952,HADC,-106.103,32.8496,Suborbital,Failure,3
1952,HADC,-106.103,32.8496,Suborbital,Success,10
1952,HMG,-3.083,30.887,Suborbital,Failure,8
1952,HMG,-3.083,30.887,Suborbital,Success,1
1952,WI,-75.48,37.83,Atmosphere,Failure,5
1952,WI,-75.48,37.83,Atmosphere,Success,33
1952,WS,-106.53,32.4,Atmosphere,Success,89
1952,WS,-106.53,32.4,Atmosphere,Unknown,63
1952,WS,-106.53,32.4,Military,Success,2
1952,WS,-106.53,32.4,Military,Unknown,29
1952,WS,-106.53,32.4,Suborbital,Failure,2
1952,WS,-106.53,32.4,Suborbital,Success,14
1953,AOR11,-70.37,42.43,Suborbital,Failure,6
1953,AOR11,-70.37,42.43,Suborbital,Success,7
1953,AOR11,-70.37,42.43,Suborbital,Unknown,1
1953,AOR11B,-55.08,53.1,Suborbital,Failure,2
1953,AOR11B,-55.08,53.1,Suborbital,Success,6
1953,CC,-80.54,28.46,Military,Failure,9
1953,CC,-80.54,28.46,Military,Success,50
1953,GTsP-4,45.8,48.5,Military,Failure,6
1953,GTsP-4,45.8,48.5,Military,Success,39
1953,HADC,-106.103,32.8496,Suborbital,Failure,1
1953,HADC,-106.103,32.8496,Suborbital,Success,11
1953,HMG,-3.083,30.887,Suborbital,Failure,1
1953,HMG,-3.083,30.887,Suborbital,Success,1
1953,WI,-75.48,37.83,Atmosphere,Failure,3
1953,WI,-75.48,37.83,Atmosphere,Success,28
1953,WS,-106.53,32.4,Atmosphere,Success,232
1953,WS,-106.53,32.4,Atmosphere,Unknown,123
1953,WS,-106.53,32.4,Military,Failure,1
1953,WS,-106.53,32.4,Military,Success,6
1953,WS,-106.53,32.4,Military,Unknown,40
1953,WS,-106.53,32.4,Suborbital,Success,11
1954,AOR12,-66.7,42.1,Suborbital,Failure,4
1954,AOR12,-66.7,42.1,Suborbital,Success,16
1954,CC,-80.54,28.46,Military,Failure,7
1954,CC,-80.54,28.46,Military,Success,68
1954,FWAK,-147.633,64.83,Suborbital,Success,1
1954,GTsP-4,45.8,48.5,Military,Failure,3
1954,GTsP-4,45.8,48.5,Military,Success,58
1954,GTsP-4,45.8,48.5,Military,Unknown,6
1954,GTsP-4,45.8,48.5,Suborbital,Success,4
1954,HADC,-106.103,32.8496,Suborbital,Success,5
1954,HMG,-3.083,30.887,Military,Failure,1
1954,HMG,-3.083,30.887,Suborbital,Failure,2
1954,HMG,-3.083,30.887,Suborbital,Success,2
1954,WI,-75.48,37.83,Atmosphere,Failure,3
1954,WI,-75.48,37.83,Atmosphere,Success,28
1954,WI,-75.48,37.83,Suborbital,Success,3
1954,WS,-106.53,32.4,Atmosphere,Success,395
1954,WS,-106.53,32.4,Atmosphere,Unknown,161
1954,WS,-106.53,32.4,Military,Failure,2
1954,WS,-106.53,32.4,Military,Success,6
1954,WS,-106.53,32.4,Military,Unknown,50
1954,WS,-106.53,32.4,Suborbital,Failure,1
1954,WS,-106.53,32.4,Suborbital,Success,12
1955,AOR13,-66.18,42.67,Suborbital,Failure,9
1955,AOR13,-66.18,42.67,Suborbital,Success,17
1955,BELA,38,65.5,Military,Success,1
1955,CC,-80.54,28.46,Atmosphere,Success,2
1955,CC,-80.54,28.46,Military,Failure,5
1955,CC,-80.54,28.46,Military,Success,60
1955,CC,-80.54,28.46,Suborbital,Failure,2
1955,CC,-80.54,28.46,Suborbital,Success,1
1955,FC,-93.8203,58.7343,Atmosphere,Success,5
1955,GTsP-4,45.8,48.5,Military,Failure,7
1955,GTsP-4,45.8,48.5,Military,Success,101
1955,GTsP-4,45.8,48.5,Suborbital,Success,3
1955,HADC,-106.103,32.8496,Military,Success,7
1955,HADC,-106.103,32.8496,Suborbital,Failure,1
1955,HADC,-106.103,32.8496,Suborbital,Success,10
1955,HMG,-3.083,30.887,Military,Success,2
1955,HMG,-3.083,30.887,Suborbital,Success,4
1955,NAOTS,-75.36,37.92,Suborbital,Failure,4
1955,NAOTS,-75.36,37.92,Suborbital,Success,1
1955,PM,-119.12,34.12,Suborbital,Success,2
1955,WI,-75.48,37.83,Atmosphere,Failure,5
1955,WI,-75.48,37.83,Atmosphere,Success,22
1955,WI,-75.48,37.83,Suborbital,Success,2
1955,WS,-106.53,32.4,Atmosphere,Success,378
1955,WS,-106.53,32.4,Atmosphere,Unknown,86
1955,WS,-106.53,32.4,Military,Unknown,91
1955,WS,-106.53,32.4,Suborbital,Failure,2
1955,WS,-106.53,32.4,Suborbital,Success,12
1956,AKT,140.06,39.57,Atmosphere,Success,7
1956,AOR14,-71,40,Suborbital,Success,5
1956,BIK,165.33,11.58,Suborbital,Success,5
1956,CC,-80.54,28.46,Military,Failure,7
1956,CC,-80.54,28.46,Military,Success,55
1956,CC,-80.54,28.46,Suborbital,Failure,3
1956,CC,-80.54,28.46,Suborbital,Success,17
1956,CC,-80.54,28.46,Test,Success,2
1956,CERES,6.47,43.05,Suborbital,Success,2
1956,FC,-93.8203,58.7343,Atmosphere,Success,10
1956,FC,-93.8203,58.7343,Suborbital,Failure,1
1956,FC,-93.8203,58.7343,Suborbital,Success,6
1956,GTsP-4,45.8,48.5,Military,Failure,5
1956,GTsP-4,45.8,48.5,Military,Success,78
1956,GTsP-4,45.8,48.5,Suborbital,Success,4
1956,HADC,-106.103,32.8496,Military,Success,16
1956,HADC,-106.103,32.8496,Suborbital,Failure,2
1956,HADC,-106.103,32.8496,Suborbital,Success,16
1956,HMG,-3.083,30.887,Suborbital,Success,1
1956,PM,-119.12,34.12,Suborbital,Success,2
1956,PM?,-120,35,Suborbital,Success,1
1956,POR9,-121.57,29.68,Suborbital,Failure,3
1956,POR9,-121.57,29.68,Suborbital,Success,7
1956,WI,-75.48,37.83,Atmosphere,Failure,2
1956,WI,-75.48,37.83,Atmosphere,Success,21
1956,WI,-75.48,37.83,Suborbital,Failure,1
1956,WI,-75.48,37.83,Suborbital,Success,5
1956,WS,-106.53,32.4,Atmosphere,Success,105
1956,WS,-106.53,32.4,Military,Success,16
1956,WS,-106.53,32.4,Military,Unknown,99
1956,WS,-106.53,32.4,Suborbital,Failure,7
1956,WS,-106.53,32.4,Suborbital,Success,41
1956,WS,-106.53,32.4,Suborbital,Unknown,1
1957,AKT,140.06,39.57,Suborbital,Success,6
1957,CC,-80.54,28.46,Military,Failure,18
1957,CC,-80.54,28.46,Military,Pad Explosion,1
1957,CC,-80.54,28.46,Military,Success,80
1957,CC,-80.54,28.46,Orbital,Failure,1
1957,CC,-80.54,28.46,Suborbital,Failure,2
1957,CC,-80.54,28.46,Suborbital,Success,7
1957,CC,-80.54,28.46,Test,Success,4
1957,CERES,6.47,43.05,Suborbital,Success,4
1957,ENW,162.25,11.5,High Altitude,Failure,3
1957,ENW,162.25,11.5,High Altitude,Success,3
1957,FC,-93.8203,58.7343,Suborbital,Failure,5
1957,FC,-93.8203,58.7343,Suborbital,Success,14
1957,GTsP-4,45.8,48.5,Military,Failure,2
1957,GTsP-4,45.8,48.5,Military,Success,121
1957,GTsP-4,45.8,48.5,Suborbital,Success,19
1957,GUAM,144.9,13.6,Suborbital,Success,3
1957,HADC,-106.103,32.8496,Military,Success,1
1957,HADC,-106.103,32.8496,Suborbital,Failure,2
1957,HADC,-106.103,32.8496,Suborbital,Success,17
1957,HMG,-3.083,30.887,Military,Failure,1
1957,HMG,-3.083,30.887,Military,Success,5
1957,IGY01,-54,55,Suborbital,Failure,4
1957,IGY01,-54,55,Suborbital,Success,14
1957,IGY02,-0.99,0.83,Suborbital,Failure,9
1957,IGY02,-0.99,0.83,Suborbital,Success,27
1957,MRNV,-115.98,36.67,Suborbital,Success,9
1957,NIIP-5,63,46,Military,Failure,2
1957,NIIP-5,63,46,Military,Success,2
1957,NIIP-5,63,46,Orbital,Success,2
1957,NOTS,-117.17,35.58,Suborbital,Success,1
1957,NTS,-116.11,36.75,Atmosphere,Success,1
1957,OK,58.05,80.45,Suborbital,Success,3
1957,PM,-119.12,34.12,Military,Success,5
1957,SNI,-119.5,33.25,Suborbital,Failure,7
1957,SNI,-119.5,33.25,Suborbital,Success,8
1957,TTR,-116.75,37.75,Suborbital,Success,5
1957,URDA,47.48,48.76,Military,Success,8
1957,VLAD,46.2,48.3,Military,Failure,3
1957,WI,-75.48,37.83,Atmosphere,Success,19
1957,WI,-75.48,37.83,Suborbital,Failure,1
1957,WI,-75.48,37.83,Suborbital,Success,4
1957,WOO,136.5,-30.925,Suborbital,Success,5
1957,WS,-106.53,32.4,Atmosphere,Success,8
1957,WS,-106.53,32.4,Military,Success,12
1957,WS,-106.53,32.4,Military,Unknown,1
1957,WS,-106.53,32.4,Suborbital,Failure,1
1957,WS,-106.53,32.4,Suborbital,Success,12
1958,AKT,140.06,39.57,Suborbital,Failure,2
1958,AKT,140.06,39.57,Suborbital,Success,17
1958,AKT,140.06,39.57,Suborbital,Unknown,1
1958,AMR,-79,29,Suborbital,Failure,1
1958,AMR,-79,29,Test,Success,1
1958,AOR7,-11.5,-38.5,Test,Success,3
1958,BALKH,72.87,46.38,Military,Success,1
1958,CC,-80.54,28.46,Military,Failure,18
1958,CC,-80.54,28.46,Military,Success,92
1958,CC,-80.54,28.46,Orbital,Failure,10
1958,CC,-80.54,28.46,Orbital,Success,7
1958,CC,-80.54,28.46,Reentry,Success,1
1958,CC,-80.54,28.46,Suborbital,Success,6
1958,CC,-80.54,28.46,Test,Failure,2
1958,CC,-80.54,28.46,Test,Success,6
1958,CHEL,59.61,47.85,Military,Success,4
1958,EGL,-86.74,30.38,Military,Success,6
1958,ENW,162.25,11.5,Suborbital,Success,1
1958,FC,-93.8203,58.7343,Suborbital,Failure,6
1958,FC,-93.8203,58.7343,Suborbital,Success,65
1958,FTB,-106.65,31.8,Military,Success,10
1958,GTsP-4,45.8,48.5,Military,Failure,7
1958,GTsP-4,45.8,48.5,Military,Success,99
1958,GTsP-4,45.8,48.5,Suborbital,Success,49
1958,GUAM,144.9,13.6,Suborbital,Success,9
1958,HADC,-106.103,32.8496,Military,Success,4
1958,HADC,-106.103,32.8496,Suborbital,Success,12
1958,HMG,-3.083,30.887,Military,Failure,1
1958,HMG,-3.083,30.887,Military,Success,2
1958,JI,-169.5238,16.7374,Military,Success,2
1958,JI,-169.5238,16.7374,Suborbital,Failure,1
1958,JI,-169.5238,16.7374,Suborbital,Success,42
1958,NIIP-5,63,46,Military,Failure,4
1958,NIIP-5,63,46,Military,Success,2
1958,NIIP-5,63,46,Orbital,Failure,4
1958,NIIP-5,63,46,Orbital,Success,1
